y,d,x,w
1.9367675669181,1,2.29,3.96
0.839263065947375,0,-1.2,58.55
-0.215428239581476,0,-0.69,16.9
1.33390788053876,0,-0.41,55.42
0.270489325302917,0,-0.97,15.25
1.08483913180413,0,-0.95,3.14
0.787760769182235,1,0.75,74.9
1.63850968277532,0,-0.12,8.79
0.197867040678706,0,0.15,60.41
0.0587929713567421,1,2.19,23.81
2.84994637264379,1,0.36,9.82
0.29761680349662,1,2.72,69.52
0.0917060451530707,1,2.28,1.55
-1.12556824715671,1,0.32,94.9
2.12907538837352,1,1.9,56.15
2.31179364528307,1,0.47,64.3
0.741867560659104,0,-0.89,34.58
0.455062067533038,0,-0.31,15.8
0.607684030848402,0,0,41.63
1.23665895894752,1,0.99,85.26
3.46847386654622,1,0.84,43.18
3.03021283592961,1,0.71,57.25
-0.569567539689306,1,1.31,41.31
-0.429227975436254,0,-1.39,49.54
1.05063027899563,1,1.27,79.88
-0.498848516365427,0,0.18,79.73
2.69148614608626,1,0.75,58.62
2.81923021539729,1,0.59,57.39
-1.6803579769917,0,-0.98,95.73
0.96737786123567,0,-0.28,76.91
2.07766118387322,0,-0.87,36.8
-1.12306874180789,1,0.72,60.26
1.18920425198458,0,0.11,36.27
0.839707708990178,0,-0.08,55.11
0.576993016644792,0,-0.42,93.02
-1.14962196497262,0,-0.56,21.31
0.514345816878741,1,1,26.43
-0.257342545654452,0,-1.11,31.95
-0.30509664387181,0,-0.14,16.99
0.559160231152275,1,0.31,63.14
2.26272860416825,1,1.22,98.3
0.726469470627436,0,-0.7,69.7
-1.3590742767206,0,-0.29,14.63
-1.07015032726685,0,-1.31,61.71
0.396132284864208,0,-0.39,24.57
0.488920994125173,0,-0.4,85.82
1.22015684176702,1,1.35,93.39
3.39274372437897,1,0.59,47.62
0.432962230652695,0,0.1,35.1
1.63585894060115,1,0.93,12.81
-0.448107023482739,0,-0.26,63.55
1.10549115385944,0,-0.01,63.35
-2.29016809976651,1,0.37,25.6
-0.111641485811696,1,1.71,41.64
-0.0307535500535219,1,0.72,31.24
0.129575521969454,1,0.48,35.78
0.676120128478699,0,-1.57,15.26
1.38094038543819,1,0.32,74.44
-0.0682509590532633,0,0.17,85.65
0.775267443178393,0,-0.9,31.29
0.64558637783299,0,0.08,37.59
2.49223361062466,0,0.16,7.78
0.18360489665723,1,0.54,81
1.22810083460091,1,0.7,63.88
0.433578947669812,1,0.32,40.76
